q20	q30	Q40	EHFB	E_zpe	B2020	B2030	B3030
2200.0	8000.0	33106.45	-1912.772548	3.248	5.40233e-06	-6.71899e-08	3.89988e-08
2200.0	12000.0	41414.4	-1908.989877	3.101	4.39656e-06	-1.02667e-07	4.53828e-08
2200.0	16000.0	409781.1	-1907.090883	2.72	3.23541e-06	-1.10437e-07	4.46291e-09
2200.0	20000.0	508825.8	-1905.044306	2.723	3.62593e-06	-1.23292e-07	4.79387e-09
2200.0	24000.0	613247.2	-1902.043041	2.871	4.0422e-06	-1.49534e-07	6.71327e-09
2200.0	28000.0	722985.7	-1898.421239	3.036	4.22752e-06	-1.50292e-07	5.78093e-09
2200.0	32000.0	831745.0	-1894.332065	3.134	5.81246e-06	-2.05345e-07	7.60356e-09
2200.0	36000.0	940416.4	-1890.130653	3.236	8.76681e-06	-2.99934e-07	1.06463e-08
2200.0	40000.0	1048585.0	-1886.271995	3.072	7.91309e-06	-2.71449e-07	9.70329e-09
2200.0	44000.0	1190192.0	-1883.684253	2.89	9.00052e-06	-3.08127e-07	1.09234e-08
2200.0	48000.0	1303210.0	-1881.291322	2.708	1.10224e-05	-3.68085e-07	1.27153e-08
2200.0	52000.0	1416373.0	-1879.245968	3.488	9.55539e-06	-3.20558e-07	1.11618e-08
2400.0	0.0	59713.11	-1912.36549	2.643	1.26845e-05	-3.23927e-15	5.17808e-08
2400.0	4000.0	55613.01	-1912.631126	2.91	1.36579e-05	-2.40669e-07	4.72137e-08
2400.0	8000.0	46367.42	-1912.668033	3.312	6.16844e-06	-1.31163e-07	3.80535e-08
2400.0	12000.0	49778.19	-1910.404079	3.337	3.443e-06	-1.11937e-07	4.07014e-08
2400.0	16000.0	423899.6	-1906.198498	2.517	6.1794e-06	-2.16738e-07	8.37388e-09
2400.0	20000.0	519943.5	-1905.36242	2.977	3.20315e-06	-1.08835e-07	4.38202e-09
2400.0	24000.0	620063.4	-1903.585139	2.73	3.47312e-06	-1.18018e-07	4.62565e-09
2400.0	28000.0	730594.3	-1901.030714	3.097	4.03454e-06	-1.41434e-07	5.51014e-09
2400.0	32000.0	840524.7	-1897.833679	3.13	4.09794e-06	-1.45618e-07	5.53337e-09
2400.0	36000.0	949551.2	-1894.077255	3.716	4.98634e-06	-1.77386e-07	6.62882e-09
2400.0	40000.0	1058133.0	-1890.041448	3.233	7.58569e-06	-2.63996e-07	9.52335e-09
2400.0	44000.0	1166553.0	-1886.187208	2.999	8.81634e-06	-3.02391e-07	1.07497e-08
2400.0	48000.0	1272206.0	-1882.831495	3.127	6.20314e-06	-2.19782e-07	8.13526e-09
2400.0	52000.0	1324712.0	-1880.787457	3.373	5.03865e-06	-1.93568e-07	7.80333e-09
2600.0	-0.0	77713.74	-1912.057536	2.945	5.70287e-06	7.24487e-15	4.20025e-08
2600.0	4000.0	74480.07	-1912.195956	3.147	6.42695e-06	-1.58232e-07	3.98847e-08
2600.0	8000.0	64040.15	-1912.178455	3.209	7.08348e-06	-2.87317e-07	4.64011e-08
2600.0	12000.0	59383.05	-1910.99367	3.31	4.13873e-06	-1.33541e-07	3.85519e-08
2600.0	16000.0	70512.43	-1907.028803	3.472	2.01903e-06	-7.99223e-08	3.58681e-08
2600.0	20000.0	375071.8	-1904.571943	2.402	7.48547e-06	-2.64667e-07	1.02651e-08
2600.0	24000.0	629094.7	-1903.534328	2.804	3.34822e-06	-1.1373e-07	4.55455e-09
2600.0	28000.0	735929.6	-1902.105702	2.81	3.39678e-06	-1.24042e-07	5.39091e-09
2600.0	32000.0	847554.1	-1900.037791	3.022	3.98093e-06	-1.37223e-07	5.15119e-09
2600.0	36000.0	957615.0	-1897.281161	3.161	4.14681e-06	-1.46452e-07	5.50124e-09
2600.0	40000.0	1066997.0	-1893.897285	3.608	4.47084e-06	-1.59857e-07	6.01622e-09
2600.0	44000.0	1175598.0	-1890.094203	3.139	6.39496e-06	-2.25843e-07	8.28086e-09
2600.0	48000.0	1283775.0	-1886.290141	3.179	8.93884e-06	-3.08086e-07	1.09902e-08
2600.0	52000.0	1390338.0	-1882.914665	3.074	7.03535e-06	-2.4644e-07	9.01633e-09
2800.0	0.0	95803.22	-1911.536867	3.141	4.4314e-06	4.80948e-15	3.13769e-08
2800.0	4000.0	93792.3	-1911.614136	3.206	5.22862e-06	-9.13452e-08	3.03665e-08
2800.0	8000.0	84976.01	-1911.583977	2.97	1.15485e-05	-3.19975e-07	4.41046e-08
2800.0	12000.0	74345.9	-1910.935351	3.04	9.33894e-06	-2.602e-07	4.05941e-08
2800.0	16000.0	79062.61	-1908.334507	3.321	2.61057e-06	-7.11396e-08	3.25452e-08
2800.0	20000.0	300329.7	-1904.638896	2.756	6.02645e-06	-2.00242e-07	7.79207e-09
2800.0	24000.0	482980.9	-1902.630037	2.397	7.66369e-06	-2.65602e-07	1.00593e-08
2800.0	28000.0	737388.9	-1901.606569	2.476	4.01224e-06	-1.43753e-07	6.44497e-09
2800.0	32000.0	853858.6	-1900.652831	3.045	3.09122e-06	-1.09641e-07	4.42554e-09
2800.0	36000.0	964568.8	-1899.066743	3.203	3.79901e-06	-1.30847e-07	4.881e-09
2800.0	40000.0	1074305.0	-1896.759016	3.359	4.22003e-06	-1.48138e-07	5.52087e-09
2800.0	44000.0	1183739.0	-1893.773257	3.394	4.2343e-06	-1.51865e-07	5.7412e-09
2800.0	48000.0	1292447.0	-1890.260173	3.686	5.42956e-06	-1.94772e-07	7.28536e-09
2800.0	52000.0	1400383.0	-1886.567937	3.047	8.1676e-06	-2.85527e-07	1.03348e-08
3000.0	0.0	112893.8	-1910.769788	3.35	3.12271e-06	-5.95651e-11	2.67897e-08
3000.0	4000.0	111863.5	-1910.844315	3.273	3.67754e-06	-5.21068e-08	2.73255e-08
3000.0	8000.0	105991.7	-1910.952209	2.858	5.47829e-06	-1.1865e-07	4.26931e-08
3000.0	12000.0	98925.67	-1910.775389	2.944	9.99255e-06	-2.15565e-07	3.77002e-08
3000.0	16000.0	96519.98	-1909.164002	2.838	1.01911e-05	-1.85189e-07	3.24329e-08
3000.0	20000.0	267179.7	-1904.907486	2.816	6.19568e-06	-2.08983e-07	8.28151e-09
