Q20	Q30	M_22	M_32	M_33	EHFB	isInterpolated
88.0	28.0	0.01583	-0.01534	0.03232	-1864.126702	False
88.0	32.0	0.0155	-0.02076	0.04685	-1856.674206	False
88.0	36.0	0.01337	-0.01739	0.03789	-1849.40846	False
88.0	40.0	0.01355	-0.01837	0.03942	-1843.044858	False
88.0	44.0	0.01115730788689906	-0.01129290422123952	0.025017508411401934	-1839.2091053039785	True
88.0	48.0	0.00937	-0.006141	0.02125	-1839.47328	False
88.0	52.0	0.01285	-0.01928	0.04535	-1839.337296	False
88.0	56.0	0.012266794582907359	-0.02118148759330185	0.04271294979515261	-1841.402439756247	True
88.0	60.0	0.008253	-0.01151	0.02015	-1842.6657	False
92.0	0.0	0.01208	2.452e-09	0.027	-1879.006407	False
92.0	4.0	0.01225	-0.001013	0.02847	-1876.536144	False
92.0	8.0	0.009397	-0.00362	0.02709	-1871.929179	False
92.0	12.0	0.007327	-0.005273	0.02824	-1868.177412	False
92.0	16.0	0.008916	-0.009014	0.03353	-1867.017454	False
92.0	20.0	0.008804	-0.00957	0.03497	-1868.141921	False
92.0	24.0	0.0075	-0.007305	0.02603	-1868.551026	False
92.0	28.0	0.009228	-0.009528	0.02587	-1865.511288	False
92.0	32.0	0.01497	-0.01743	0.03787	-1859.495136	False
92.0	36.0	0.01356	-0.01845	0.03918	-1852.169653	False
92.0	40.0	0.01259	-0.01722	0.03661	-1845.764614	False
92.0	44.0	0.01324	-0.01802	0.0362	-1839.719818	False
92.0	48.0	0.009784380390507552	-0.009329150869143987	0.0221764045022379	-1841.2808964616054	True
92.0	52.0	0.008207	-0.007056	0.01917	-1840.409786	False
92.0	56.0	0.0115	-0.01922	0.0379	-1842.278232	False
92.0	60.0	0.01254	-0.02089	0.04011	-1843.890573	False
96.0	0.0	0.01383	2.179e-08	0.02643	-1879.958865	False
96.0	4.0	0.01246	-0.001367	0.02647	-1877.598629	False
96.0	8.0	0.008754	-0.004492	0.02659	-1872.829686	False
96.0	12.0	0.007323	-0.005057	0.02551	-1868.529514	False
96.0	16.0	0.008121	-0.00768	0.0297	-1866.470887	False
96.0	20.0	0.008387	-0.009396	0.03299	-1866.841253	False
96.0	24.0	0.01284	-0.0114	0.02996	-1867.722083	False
96.0	28.0	0.007953	-0.007939	0.02353	-1866.305575	False
96.0	32.0	0.01344	-0.01225	0.0259	-1862.104169	False
96.0	36.0	0.01436	-0.01967	0.04055	-1854.98668	False
96.0	40.0	0.007533	-0.01047	0.01729	-1850.045457	False
96.0	44.0	0.008841	-0.01228	0.01965	-1849.121337	False
96.0	48.0	0.01007	-0.01395	0.02193	-1846.751866	False
96.0	52.0	0.01039	-0.01424	0.02252	-1843.378625	False
96.0	56.0	0.007546	-0.007453	0.01728	-1841.139797	False
96.0	60.0	0.007184	-0.007607	0.01601	-1842.427974	False
100.0	0.0	0.01333	1.476e-08	0.02572	-1880.583982	False
100.0	4.0	0.01095	-0.002455	0.02496	-1878.44625	False
100.0	8.0	0.008652	-0.004742	0.02532	-1873.685478	False
100.0	12.0	0.008072	-0.005229	0.02346	-1869.108398	False
100.0	16.0	0.007806	-0.006709	0.02605	-1866.2976	False
100.0	20.0	0.008867	-0.009423	0.0305	-1865.738954	False
100.0	24.0	0.009851	-0.009751	0.02996	-1866.622918	False
100.0	28.0	0.006621	-0.006508	0.02216	-1866.387561	False
100.0	32.0	0.01213	-0.009717	0.02207	-1863.938535	False
