       Z           N           Q20         Q30         BE              E0            M22           M32           M33
      100.00      156.00       48.00       60.00    -1844.2200        0.9597        0.5910       -0.9616        1.5850
      100.00      156.00       52.00        0.00    -1884.8050        1.1497        0.0955        0.0000        0.0952
      100.00      156.00       52.00        4.00    -1884.9460        1.2261        0.1010       -0.0258        0.1599
      100.00      156.00       52.00        8.00    -1886.0710        1.4518        0.1034       -0.0354        0.1096
      100.00      156.00       52.00       12.00    -1883.9190        1.2853        0.1044       -0.0459        0.1481
      100.00      156.00       52.00       16.00    -1874.3810        1.0135        0.0589       -0.0426        0.2806
      100.00      156.00       52.00       20.00    -1863.9050        0.7769        0.0788       -0.1025        0.4186
      100.00      156.00       52.00       24.00    -1852.4300        1.1311        0.1007       -0.1500        0.4119
      100.00      156.00       52.00       28.00    -1850.2250        0.9668        0.1168       -0.1960        0.5167
      100.00      156.00       52.00       32.00    -1844.3250        0.8988        0.0698       -0.0867        0.2814
      100.00      156.00       52.00       36.00    -1839.8080        0.8809        0.1282       -0.1826        0.4689
      100.00      156.00       52.00       40.00    -1834.1160        0.7707        0.2227       -0.3781        0.8109
      100.00      156.00       52.00       44.00    -1828.5130        0.8818        0.0795       -0.1091        0.2410
      100.00      156.00       52.00       48.00    -1850.3740        2.7987        0.1009       -0.1071        0.2407
      100.00      156.00       52.00       52.00    -1850.2440        2.7030        0.1266       -0.1643        0.3117
      100.00      156.00       52.00       56.00    -1848.1040        2.1568        0.1457       -0.2156        0.3697
      100.00      156.00       52.00       60.00    -1846.5340        0.9052        0.0777       -0.1239        0.2146
      100.00      156.00       56.00        0.00    -1884.3040        1.1978        0.1033       -0.0000        0.0797
      100.00      156.00       56.00        4.00    -1884.4790        1.2249        0.1007       -0.0698        0.1863
      100.00      156.00       56.00        8.00    -1884.5270        1.1385        0.1068       -0.0298        0.1547
      100.00      156.00       56.00       12.00    -1884.6640        1.4725        0.0912       -0.0421        0.1051
      100.00      156.00       56.00       16.00    -1876.9730        0.9179        0.0757       -0.0110        0.1830
      100.00      156.00       56.00       20.00    -1865.9250        1.8142        0.1772       -0.1307        0.1705
      100.00      156.00       56.00       24.00    -1857.7250        1.2029        0.0913       -0.0604        0.1234
      100.00      156.00       56.00       28.00    -1852.4230        1.1551        0.1251       -0.2093        0.5625
      100.00      156.00       56.00       32.00    -1845.9880        0.8600        0.0884       -0.1424        0.3596
      100.00      156.00       56.00       36.00    -1841.7840        0.8358        0.0799       -0.1076        0.2759
      100.00      156.00       56.00       40.00    -1836.7710        0.8555        0.1943       -0.3047        0.6618
      100.00      156.00       56.00       44.00    -1831.0690        0.8324        0.1407       -0.2247        0.4550
      100.00      156.00       56.00       48.00    -1849.9620        2.8411        0.0806       -0.0699        0.1904
      100.00      156.00       56.00       52.00    -1851.0060        2.8471        0.0924       -0.1234        0.2261
      100.00      156.00       56.00       56.00    -1847.2360        1.0171        0.1272       -0.2126        0.3640
      100.00      156.00       56.00       60.00    -1848.1430        0.9326        0.1231       -0.1948        0.3256
      100.00      156.00       60.00        0.00    -1883.7210        1.2213        0.0875        0.0000        0.0705
      100.00      156.00       60.00        4.00    -1883.9450        1.1345        0.1259       -0.0887        0.1709
      100.00      156.00       60.00        8.00    -1884.1930        1.0823        0.0985        0.0170        0.1722
      100.00      156.00       60.00       12.00    -1884.4150        1.2518        0.1306       -0.0728        0.1179
      100.00      156.00       60.00       16.00    -1879.2090        0.8337        0.1242       -0.0444        0.1590
      100.00      156.00       60.00       20.00    -1869.3210        0.9662        0.0684       -0.0855        0.3246
      100.00      156.00       60.00       24.00    -1861.0910        0.8525        0.1092       -0.1515        0.2733
      100.00      156.00       60.00       28.00    -1854.8690        1.1272        0.1010       -0.1500        0.4124
      100.00      156.00       60.00       32.00    -1847.9980        0.8975        0.1035       -0.1702        0.3908
      100.00      156.00       60.00       36.00    -1843.4420        0.8088        0.0819       -0.1325        0.2883
      100.00      156.00       60.00       40.00    -1839.2310        0.8659        0.0917       -0.1292        0.2840
      100.00      156.00       60.00       44.00    -1833.5820        0.8174        0.2416       -0.3954        0.7938
      100.00      156.00       60.00       48.00    -1850.1220        2.7935        0.0869       -0.0803        0.0820
      100.00      156.00       60.00       52.00    -1850.4310        2.9542        0.0708       -0.0953        0.1731
      100.00      156.00       60.00       56.00    -1847.3190        1.0886        0.0959       -0.1585        0.2733
      100.00      156.00       60.00       60.00    -1848.3660        0.9964        0.1272       -0.2083        0.3489
      100.00      156.00       64.00        0.00    -1882.3230        1.2780        0.0591        0.0000        0.0604
      100.00      156.00       64.00        4.00    -1882.6490        1.1889        0.0859       -0.0403        0.1099
      100.00      156.00       64.00        8.00    -1883.5060        1.1160        0.1053        0.0097        0.1339
      100.00      156.00       64.00       12.00    -1884.5410        1.0186        0.0882       -0.0541        0.1355
      100.00      156.00       64.00       16.00    -1881.3320        1.0316        0.1306       -0.0691        0.1227
      100.00      156.00       64.00       20.00    -1872.5240        0.8825        0.0659       -0.0517        0.1807
      100.00      156.00       64.00       24.00    -1863.3390        1.2523        0.1313       -0.0697        0.1099
      100.00      156.00       64.00       28.00    -1857.3150        0.8213        0.0786       -0.1141        0.2913
      100.00      156.00       64.00       32.00    -1850.4430        1.0558        0.1128       -0.1760        0.3982
      100.00      156.00       64.00       36.00    -1844.9670        0.7761        0.1015       -0.1613        0.3427
      100.00      156.00       64.00       40.00    -1841.1720        0.8016        0.0774       -0.1228        0.2563
      100.00      156.00       64.00       44.00    -1836.3900        0.8907        0.1371       -0.2095        0.4169
      100.00      156.00       64.00       48.00    -1845.4040        1.1262        0.0678       -0.1157        0.2068
      100.00      156.00       64.00       52.00    -1849.9210        2.8327        0.0712       -0.0790        0.1759
      100.00      156.00       64.00       56.00    -1847.2595        0.9196        0.0803       -0.1293        0.2260
      100.00      156.00       64.00       60.00    -1848.7100        1.0565        0.1082       -0.1783        0.3012
      100.00      156.00       68.00        0.00    -1880.3160        1.3773        0.0425        0.0000        0.0515
      100.00      156.00       68.00        4.00    -1880.6800        1.2907        0.0460       -0.0132        0.0748
      100.00      156.00       68.00        8.00    -1881.9650        1.1253        0.0686       -0.0129        0.1179
      100.00      156.00       68.00       12.00    -1884.1720        0.9137        0.0661       -0.0348        0.1244
      100.00      156.00       68.00       16.00    -1883.0980        1.2768        0.1026       -0.0669        0.1023
      100.00      156.00       68.00       20.00    -1875.6610        0.6711        0.0942       -0.0829        0.2648
      100.00      156.00       68.00       24.00    -1865.4380        1.4932        0.1386       -0.0683        0.0781
      100.00      156.00       68.00       28.00    -1859.4440        0.8729        0.1221       -0.0953        0.2295
      100.00      156.00       68.00       32.00    -1853.0510        1.0571        0.0760       -0.1196        0.2740
      100.00      156.00       68.00       36.00    -1846.6770        0.8314        0.1254       -0.1800        0.3681
      100.00      156.00       68.00       40.00    -1842.6580        0.7851        0.0838       -0.1324        0.2733
      100.00      156.00       68.00       44.00    -1838.7760        0.8063        0.0762       -0.1173        0.2357
      100.00      156.00       68.00       48.00    -1844.3584        0.7162        0.0554       -0.1168        0.2377
      100.00      156.00       68.00       52.00    -1847.3954        1.3853        0.0730       -0.0999        0.2077
      100.00      156.00       68.00       56.00    -1846.9152        0.5762        0.0761       -0.1261        0.2253
      100.00      156.00       68.00       60.00    -1851.0540        0.9827        0.0892       -0.1324        0.2170
      100.00      156.00       72.00        0.00    -1879.1990        1.9838        0.0820       -0.0000        0.0717
      100.00      156.00       72.00        4.00    -1878.3020        1.5238        0.0680       -0.0048        0.0816
      100.00      156.00       72.00        8.00    -1879.8370        1.0650        0.0457       -0.0164        0.1084
      100.00      156.00       72.00       12.00    -1882.8520        0.9169        0.0499       -0.0262        0.1144
      100.00      156.00       72.00       16.00    -1884.0260        1.2573        0.0825       -0.0631        0.1063
      100.00      156.00       72.00       20.00    -1878.5990        0.7381        0.1110       -0.0755        0.2225
      100.00      156.00       72.00       24.00    -1870.1370        0.8925        0.0961       -0.1076        0.2046
      100.00      156.00       72.00       28.00    -1861.7760        1.2525        0.1221       -0.0261        0.0571
      100.00      156.00       72.00       32.00    -1855.4010        0.8733        0.0634       -0.1046        0.2379
