destinationFile	isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	M_22	M_32	M_33	EHFB	sourceFile	expected_Z	expected_N	expected_q20	expected_q30	bet2	bet3	filter_maxDeltaE	filter_bluff	isCorrect
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000001.hel	True	0.00204	96.002289	24.001418	24.485649	25.459948	25.315825	25.022874	25.028125	0.01954	-0.01749	0.04138	-1865.858428	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000015.hel	100	154	96.0	24.0	0.865	0.337	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000002.hel	True	0.002102	95.997829	27.995429	47.221645	81.616226	155.754455	301.770312	592.414148	0.01146	-0.01542	0.02521	-1849.821065	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000015.hel	100	154	96.0	28.0	0.865	0.393	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000003.hel	True	0.001354	95.999244	29.999671	50.267579	89.367095	172.009278	336.905442	666.775051	0.01369	-0.01813	0.02941	-1850.450644	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000001.hel	100	154	96.0	30.0	0.865	0.421	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000004.hel	True	0.001416	97.999567	1.999812	10.615758	2.576378	3.357903	1.850951	0.877731	0.01579	-0.0002386	0.02971	-1878.553148	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000002.hel	100	154	98.0	2.0	0.883	0.028	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000005.hel	True	0.004277	97.993923	3.998774	11.275363	5.120388	4.289156	3.796387	1.902087	0.0149	-0.001343	0.02883	-1876.704454	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000003.hel	100	154	98.0	4.0	0.883	0.056	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000006.hel	True	0.00026	98.000484	6.000036	12.04411	7.581643	5.522554	5.808943	3.393708	0.01339	-0.002816	0.02903	-1873.91784	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000004.hel	100	154	98.0	6.0	0.883	0.084	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000007.hel	True	0.00064	97.996163	20.001463	47.918114	89.2392	184.22228	373.191827	755.149238	0.007429	-0.008943	0.01787	-1851.250771	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000005.hel	100	154	98.0	20.0	0.883	0.28	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000008.hel	True	0.003296	98.002895	23.998241	53.064963	98.808764	203.369599	411.422828	834.412719	0.009327	-0.005663	0.01745	-1849.301721	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000006.hel	100	154	98.0	24.0	0.883	0.337	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000009.hel	True	0.00102	98.002417	28.000021	51.874469	92.84933	183.937761	364.486263	728.829371	0.01032	-0.01313	0.02435	-1849.181033	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000007.hel	100	154	98.0	28.0	0.883	0.393	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_003/p154_100_000010.hel	True	0.000449	98.002311	32.000112	53.889202	97.805985	189.881664	375.464405	748.997872	0.01474	-0.01885	0.0318	-1850.272759	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000008.hel	100	154	98.0	32.0	0.883	0.449	True	False	False
