Q20	Q30	Q40	M_22	M_32	M_33	M_42	M_43	M_44	EHFB
0.0	32.0	64.0	0.06365	0.01373	0.02501	0.08022	0.01878	0.1107	105.70323699999994
0.0	32.0	72.0	0.06275	0.02094	0.05905	0.07141	0.004757	0.1109	120.70949099999984
0.0	32.0	80.0	0.04432	0.004593	0.0578	0.0571	0.001125	0.08833	137.419351
0.0	32.0	88.0	0.03485	0.001378	0.0215	0.04396	0.006002	0.06592	154.69337299999984
0.0	32.0	96.0	0.02817	0.0007561	0.02392	0.03304	0.004413	0.05114	174.078761
0.0	32.0	104.0	0.04127	0.0007342	0.02524	0.05019	0.006151	0.07194	192.28287999999998
0.0	32.0	112.0	0.03696	0.009869	0.03445	0.04085	0.01152	0.05793	195.83340199999998
0.0	32.0	120.0	0.03484	0.02681	0.04889	0.02544	0.02995	0.02638	203.34362499999997
0.0	32.0	128.0	0.02656765476145533	0.0016195300372212349	0.03527877133507431	0.029925170011167422	0.00015426510086966212	0.04972222213904252	207.92802971835977
0.0	32.0	136.0	0.02306	0.003934	0.03277	0.0264	0.001312	0.04456	216.87339399999996
0.0	32.0	144.0	0.04783	0.001748	0.03854	0.06393	0.009372	0.1039	223.58169599999997
0.0	32.0	152.0	0.04052	0.003504	0.04461	0.05036	0.009068	0.0835	230.90039899999988
0.0	32.0	160.0	0.02245	0.005647	0.05014	0.01911	0.003168	0.03687	239.17314699999997
0.0	32.0	168.0	0.03018	0.0008044	0.05496	0.02386	0.003994	0.04275	248.44521899999995
0.0	32.0	176.0	0.03141127770891315	0.005031733027813221	0.04635321170888635	0.030998410389890665	0.006584779220783908	0.05183605993482479	257.0974032118779
0.0	32.0	184.0	0.01586	0.001124	0.03721	0.01617	0.002014	0.03515	269.1059449999998
0.0	32.0	192.0	0.01427	0.002866	0.03604	0.01495	0.00285	0.03418	279.55012999999985
0.0	32.0	200.0	0.01554	0.002064	0.02168	0.01892	0.004003	0.03394	289.513187
0.0	36.0	0.0	0.01927	0.02384	0.2156	0.005211	0.005165	0.03323	165.743385
0.0	36.0	8.0	0.02256	0.04868	0.2721	0.001009	0.03958	0.03808	131.19741599999998
0.0	36.0	16.0	0.0308	0.05927	0.3016	0.001894	0.04753	0.03512	107.97114399999987
0.0	36.0	24.0	0.04383	0.07586	0.4452	0.001768	0.112	0.05441	91.00264799999991
0.0	36.0	32.0	0.04521	0.07467	0.3259	0.004264	0.07775	0.04443	82.53048999999987
0.0	36.0	40.0	0.05269	0.1059	0.3587	0.004267	0.07278	0.04268	67.04958199999987
